Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well are the tutorials paced?,What track are you in?,,How well is the schedule paced?,#,How likely is it that you would recommend the Make School Summer Academy to a friend?,location,track,Start Date (UTC),Submit Date (UTC),Network ID,﻿ID,Location,Track,Week,Rating (Num),Schedule Pacing
"6/24/2016 13:20:57","4","3","Apps",,"3","d353c2cdff6bcf3e932579a5647d511a","10","San Francisco","summerGames (4-week)","9/7/16 5:08","9/13/16 20:13","a3e21d76e3","162","Redwood City","Apps","Week 2","7","Just right",
"6/24/2016 13:27:16","4","3","Apps",,"4","f5716831fe432cef5da980038f2f8969","9","San Francisco","summerIntro","9/14/16 12:04","9/14/16 12:10","843b902fa2","175","Chicago","Apps","Week 2","7","A little too slow",
"6/24/2016 13:33:49","4","3","Apps",,"5","951e9361c4da1756ae1c6fb2612cb9dd","9","Sunnyvale","summerGames","9/26/16 16:33","9/26/16 16:34","a2863e199d","192","Santa Clara","Apps","Week 2","7","Just right",
"6/24/2016 13:37:25","4","3","Apps",,"3",,,,,,,,"199","Santa Clara","Apps","Week 2","7","A little too fast",
"6/24/2016 13:38:57","4","3","Apps",,"3",,,,,,,,"222","Los Angeles","Apps","Week 2","7","A little too fast",
"6/23/2016 16:11:39","4","4","Apps",,"3",,,,,,,,"223","San Francisco","Apps, Explorer","Week 2","7","Just right",
"6/24/2016 9:51:03","4","4","Apps",,"3",,,,,,,,"226","San Francisco","Apps, Explorer","Week 2","7","Just right",
"6/24/2016 13:58:11","4","4","Apps",,"3",,,,,,,,"247","San Francisco","Apps, Explorer","Week 2","7","Just right",
"6/24/2016 14:07:33","4","4","Apps",,"3",,,,,,,,"249","San Francisco","Apps","Week 2","7","A little too fast",
"6/24/2016 15:34:30","4","4","Apps",,"3",,,,,,,,"257","San Francisco","Apps","Week 2","7","A little too fast",
"6/24/2016 13:16:51","4","5","Apps",,"3",,,,,,,,"258","San Francisco","Apps","Week 2","7","A little too fast",
"6/24/2016 14:05:35","4","5","Apps",,"2",,,,,,,,"266","San Francisco","Apps","Week 2","7","A little too fast",
"6/25/2016 20:09:34","4","2","Apps",,"3",,,,,,,,"270","San Francisco","Games","Week 2","7","Just right",
"6/24/2016 13:32:30","5","2","Apps",,"3",,,,,,,,"287","Atlanta","Apps, Explorer","Week 2","7","A little too fast",
"6/24/2016 14:05:44","5","2","Apps",,"3",,,,,,,,"295","Washington DC","Apps","Week 1","7","Just right",
"6/23/2016 13:17:43","5","3","Apps",,"4",,,,,,,,"305","Oakland","Apps","Week 2","7","A little too slow",
"6/23/2016 14:44:06","5","3","Apps",,"4",,,,,,,,"318","Redwood City","Apps","Week 3","7","Just right",
"6/24/2016 9:49:15","5","3","Apps",,"4",,,,,,,,"327","Redwood City","Apps","Week 3","7","Just right",
"6/24/2016 9:49:18","5","3","Apps",,"4",,,,,,,,"329","Washington DC","Apps","Week 2","7","Just right",
"6/24/2016 9:50:06","5","3","Apps",,"3",,,,,,,,"339","New York City","Apps","Week 1","7","Just right",
"6/24/2016 9:50:19","5","3","Apps",,"4",,,,,,,,"343","New York City","Apps","Week 1","7","A little too slow",
"6/24/2016 11:34:57","5","3","Apps",,"3",,,,,,,,"344","New York City","Games","Week 1","7","Just right",
"6/24/2016 13:05:10","5","3","Apps",,"3",,,,,,,,"346","New York City","Games","Week 1","7","Just right",
"6/24/2016 13:07:59","5","3","Apps",,"4",,,,,,,,"353","New York City","Apps","Week 1","7","Just right",
"6/24/2016 13:09:46","5","3","Apps",,"3",,,,,,,,"375","Chicago","Apps","Week 3","7","A little too fast",
"6/24/2016 13:18:32","5","3","Apps",,"3",,,,,,,,"380","Chicago","Apps","Week 3","7","A little too fast",
"6/24/2016 13:27:04","5","3","Apps",,"3",,,,,,,,"385","Chicago","Apps, Explorer","Week 3","7","Just right",
"6/24/2016 13:27:52","5","3","Apps",,"3",,,,,,,,"400","Santa Clara","Apps","Week 3","7","A little too fast",
